line,dose,age,code,rep,Metsch,whiteglobs,ExposureDate,DeathDate,censored,status,Notes
BA,control,old,CO1,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO1,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO1,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO1,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO2,1,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO2,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO2,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO2,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO2,5,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO3,1,0,1,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO3,2,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO3,3,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO3,4,0,0,7/21/2021,8/9/2021,censored,1,
BA,control,old,CO3,5,0,0,7/21/2021,8/9/2021,censored,1,
